"1","Andaman & Nicobar Islands","1","India"
"2","Andhra Pradesh","1","India"
"3","Arunachal Pradesh","1","India"
"4","Assam","1","India"
"5","Bihar","1","India"
"6","Chandigarh","1","India"
"7","Chattisgarh","1","India"
"8","Dadra & Nagar Haveli","1","India"
"9","Daman & Diu","1","India"
"10","Delhi","1","India"
"11","Goa","1","India"
"12","Gujarat","1","India"
"13","Haryana","1","India"
"14","Himachal Pradesh","1","India"
"15","Jammu & Kashmir","1","India"
"16","Jharkhand","1","India"
"17","Karnataka","1","India"
"18","Kerala","1","India"
"19","Lakshadweep","1","India"
"20","Madhya Pradesh","1","India"
"21","Maharashtra","1","India"
"22","Manipur","1","India"
"23","Meghalaya","1","India"
"24","Mizoram","1","India"
"25","Nagaland","1","India"
"26","Odisha","1","India"
"27","Poducherry","1","India"
"28","Punjab","1","India"
"29","Rajasthan","1","India"
"30","Sikkim","1","India"
"31","Tamil Nadu","1","India"
"32","Telangana","1","India"
"33","Tripura","1","India"
"34","Uttar Pradesh","1","India"
"35","Uttarakhand","1","India"
"36","West Bengal","1","India"
